name,record,weight_class,nick_name
Frank Camacho,22-10-0 (W-L-D),Lightweight,"""The Crank"""
Matheus Camilo,9-3-0 (W-L-D),Lightweight,"""Jaguar"""
Fabricio Camoes,14-9-1 (W-L-D),Lightweight,"""Morango"""
Brian Camozzi,7-5-0 (W-L-D),Welterweight,"""Mantis"""
Chris Camozzi,24-13-0 (W-L-D),Middleweight,
Ricky Camp,0-0-0 (W-L-D),Bantamweight,
Shane Campbell,12-6-0 (W-L-D),Lightweight,"""Shaolin"""
Kitt Campbell,0-0-0 (W-L-D),Welterweight,
Charlie Campbell,9-2-0 (W-L-D),Lightweight,"""The Cannibal """
John Campetella,0-0-0 (W-L-D),N/A,
Wagner Campos,11-4-0 (W-L-D),Featherweight,"""Galeto"""
Will Campuzano,13-6-0 (W-L-D),Flyweight,
Aleksa Camur,6-3-0 (W-L-D),Light Heavyweight,
Chico Camus,14-7-0 (W-L-D),Flyweight,"""The King"""
Asbel Cancio,0-0-0 (W-L-D),N/A,
Carlos Candelario,8-3-0 (W-L-D),Flyweight,"""The Cannon"""
Ronaldo Candido,5-2-0 (W-L-D),Flyweight,"""Pacman"""
Luiz Cane,0-0-0 (W-L-D),Middleweight,"""Bana"""
Guido Cannetti,10-8-0 (W-L-D),Bantamweight,"""Ninja"""
Jared Cannonier,18-8-0 (W-L-D),Middleweight,"""Tha Killa Gorilla"""
Steve Cantwell,7-6-0 (W-L-D),Middleweight,"""Robot"""
Paul Capaldo,0-0-0 (W-L-D),Bantamweight,
Phil Caracappa,0-0-0 (W-L-D),Bantamweight,
Frank Caracci,0-0-0 (W-L-D),Lightweight,
Gina Carano,0-0-0 (W-L-D),Women's Bantamweight,"""Conviction"""
Bryan Caraway,21-10-0 (W-L-D),Bantamweight,"""Kid Lightning"""
Chris Cariaso,17-8-0 (W-L-D),Flyweight,"""Kamikaze"""
Rafael Carino,0-0-0 (W-L-D),N/A,
Antonio Carlos Junior,11-5-0 (W-L-D),Middleweight,"""Cara de Sapato"""
Spike Carlyle,9-3-0 (W-L-D),Featherweight,"""The Alpha Ginger"""
Francis Carmont,22-10-0 (W-L-D),Middleweight,"""Limitless"""
Liz Carmouche,13-7-0 (W-L-D),Women's Flyweight,"""Girlrilla"""
Roan Carneiro,21-11-0 (W-L-D),Welterweight,"""Jucao"""
Ariane Carnelossi,15-3-0 (W-L-D),Women's Strawweight,"""Sorriso"""
Luana Carolina,11-4-0 (W-L-D),Women's Flyweight,"""Dread"""
Tim Caron,9-2-0 (W-L-D),Middleweight,"""The Bear"""
Clayton Carpenter,8-1-0 (W-L-D),Flyweight,
Cain Carrizosa,6-2-0 (W-L-D),Lightweight,"""The Insane"""
Shonie Carter,66-14-7 (W-L-D),Welterweight,"""Mr. International"""
Jack Cartwright,0-1-0 (W-L-D),Bantamweight,
Antonio Carvalho,15-6-0 (W-L-D),Featherweight,"""Pato"""
Shane Carwin,12-2-0 (W-L-D),Heavyweight,
Johnny Case,22-6-0 (W-L-D),Lightweight,"""Hollywood"""
Cortney Casey,10-10-0 (W-L-D),Women's Flyweight,"""Cast Iron"""
Kevin Casey,9-5-1 (W-L-D),Middleweight,"""King"""
Duane Cason,0-0-0 (W-L-D),Heavyweight,
John Castaneda,21-8-0 (W-L-D),Featherweight,"""Sexi Mexi"""
Danny Castillo,17-10-0 (W-L-D),Lightweight,"""Last Call"""
Gil Castillo,17-2-0 (W-L-D),Welterweight,
Nick Catone,10-4-0 (W-L-D),Middleweight,"""The Jersey Devil"""
Luke Caudillo,15-8-0 (W-L-D),Lightweight,"""Lil' Hulk"""
Rafael Cavalcante,12-7-0 (W-L-D),Light Heavyweight,"""Feijao"""
Jacqueline Cavalcanti,9-1-0 (W-L-D),Women's Bantamweight,
Magnus Cedenblad,14-5-0 (W-L-D),Middleweight,"""Jycken"""
Yosdenis Cedeno,10-5-0 (W-L-D),Lightweight,"""The Pink Panther"""
Henry Cejudo,16-5-0 (W-L-D),Bantamweight,"""Triple C"""
Adam Cella,4-1-0 (W-L-D),Middleweight,
Vinicius Cenci,0-1-0 (W-L-D),Lightweight,
Katlyn Cerminara,18-6-0 (W-L-D),Women's Flyweight,"""Blonde Fighter"""
Rafael Cerqueira,11-2-0 (W-L-D),Light Heavyweight,"""The Lion"""
Alberta Cerra,0-0-0 (W-L-D),Heavyweight,
Donald Cerrone,36-17-0 (W-L-D),Welterweight,"""Cowboy"""
Luan Chagas,15-2-1 (W-L-D),Welterweight,"""Tarzan"""
Edgar Chairez,12-6-0 (W-L-D),Flyweight,"""Puro Chicali"""
Ansar Chalangov,7-2-0 (W-L-D),Welterweight,
Alex Chambers,5-4-0 (W-L-D),Women's Strawweight,"""Astro Girl"""
Chelsea Chandler,6-4-0 (W-L-D),Women's Bantamweight,
Michael Chandler,23-10-0 (W-L-D),Lightweight,"""Iron"""
Donnie Chappell,0-0-0 (W-L-D),Lightweight,
Joe Charles,0-0-0 (W-L-D),Heavyweight,
Morgan Charriere,20-11-1 (W-L-D),Featherweight,"""The Last Pirate"""
Ernest Chavez,8-2-0 (W-L-D),Lightweight,"""The Mad Titan"""
Danny Chavez,11-5-1 (W-L-D),Featherweight,"""The Colombian Warrior"""
Gabriel Checco,10-2-0 (W-L-D),Middleweight,"""Zangief"""
Albert Cheng,2-4-0 (W-L-D),Welterweight,
Fabio Cherant,7-4-0 (W-L-D),Light Heavyweight,"""Water Buffalo"""
Mark Cherico,11-2-0 (W-L-D),Featherweight,"""The Pride of Bloomfield"""
Macy Chiasson,11-4-0 (W-L-D),Women's Featherweight,
Michael Chiesa,19-7-0 (W-L-D),Welterweight,"""Maverick"""
Giga Chikadze,15-5-0 (W-L-D),Featherweight,"""Ninja"""
Khamzat Chimaev,14-0-0 (W-L-D),Middleweight,"""Borz"""
Sako Chivitchian,5-1-0 (W-L-D),Lightweight,"""The Psycho"""
Seungwoo Choi,11-8-0 (W-L-D),Featherweight,"""Sting"""
Dooho Choi,16-4-1 (W-L-D),Featherweight,"""The Korean Superboy"""
DongHun Choi,3-0-0 (W-L-D),Flyweight,
SeungGuk Choi,7-3-0 (W-L-D),Flyweight,
Mark Choinski,8-1-0 (W-L-D),Lightweight,"""The Shark"""
John Cholish,8-3-0 (W-L-D),Lightweight,
Ryo Chonan,15-10-0 (W-L-D),Welterweight,"""Piranha"""
Will Chope,19-6-0 (W-L-D),Featherweight,"""The Kill"""
Joachim Christensen,14-6-0 (W-L-D),Light Heavyweight,
Kevin Christian,1-0-0 (W-L-D),Light Heavyweight,
Dan Christison,8-5-0 (W-L-D),Heavyweight,"""The Sandman"""
Anthony Christodoulou,12-6-0 (W-L-D),Lightweight,
Yui Chul Nam,18-6-1 (W-L-D),Featherweight,"""The Korean Bulldozer"""
Cameron Church,0-1-0 (W-L-D),Lightweight,
Mike Ciesnolevicz,18-4-1 (W-L-D),Light Heavyweight,"""Mike C"""
Hannah Cifers,10-7-0 (W-L-D),Women's Strawweight,"""Shockwave"""
Misha Cirkunov,15-9-0 (W-L-D),Light Heavyweight,
Heather Jo Clark,7-6-0 (W-L-D),Women's Strawweight,"""Hurricane"""
Devin Clark,14-9-0 (W-L-D),Light Heavyweight,"""Brown Bear"""
Logan Clark,9-0-0 (W-L-D),Middleweight,"""The Pink Pounder"""
Laverne Clark,0-0-0 (W-L-D),Welterweight,
Jessica-Rose Clark,11-9-0 (W-L-D),Women's Bantamweight,
Mitch Clarke,11-5-0 (W-L-D),Lightweight,"""Danger Zone"""
Rich Clementi,40-14-1 (W-L-D),Lightweight,"""No Love"""
Chris Clements,12-5-0 (W-L-D),Welterweight,"""The Menace"""
Mark Climaco,1-1-0 (W-L-D),Flyweight,
Josh Clopton,6-2-1 (W-L-D),Featherweight,"""The Gentleman"""
Brian Cobb,15-5-0 (W-L-D),Lightweight,"""The Bandit"""
John Cofer,7-4-0 (W-L-D),Lightweight,
Felipe Colares,10-4-0 (W-L-D),Featherweight,"""Cabocao"""
Coltin Cole,0-0-0 (W-L-D),Heavyweight,"""The Truth"""
Chandler Cole,0-1-0 (W-L-D),Heavyweight,
Mark Coleman,16-10-0 (W-L-D),Light Heavyweight,"""The Hammer"""
Clay Collard,14-7-0 (W-L-D),Featherweight,"""Cassius"""
Jamie Colleen,4-2-0 (W-L-D),Women's Strawweight,
Jake Collier,13-10-0 (W-L-D),Heavyweight,"""The Prototype"""
Christian Colombo,8-3-1 (W-L-D),Heavyweight,"""Godzilla"""
Wes Combs,12-2-0 (W-L-D),Light Heavyweight,"""The Soldier"""
Carlos Condit,32-14-0 (W-L-D),Welterweight,"""The Natural Born Killer"""
Chris Condo,0-0-0 (W-L-D),Heavyweight,
Wang Cong,8-1-0 (W-L-D),Women's Flyweight,"""The Joker"""
Tristan Connelly,14-8-0 (W-L-D),Featherweight,"""Boondock"""
Marcos Conrado Junior,0-0-0 (W-L-D),Heavyweight,
Bob Cook,0-0-0 (W-L-D),Lightweight,
Amanda Cooper,4-5-0 (W-L-D),Women's Strawweight,"""ABC"""
Kit Cope,0-0-0 (W-L-D),Welterweight,"""Havoc"""
Chris Cope,5-4-0 (W-L-D),Welterweight,"""C-Murder"""
Josh Copeland,9-2-0 (W-L-D),Heavyweight,"""Cuddly Bear"""
Michael Cora,4-2-0 (W-L-D),Welterweight,
Akira Corassani,14-7-1 (W-L-D),Featherweight,
Cory Corbin,0-0-0 (W-L-D),Heavyweight,"""Hamma"""
Daniel Cormier,22-3-0 (W-L-D),Heavyweight,"""DC"""
Nora Cornolle,9-2-0 (W-L-D),Women's Bantamweight,
Jonathan Correa,0-0-0 (W-L-D),Heavyweight,"""Puerto Rican Rambo"""
Bethe Correia,11-6-1 (W-L-D),Women's Bantamweight,"""Pitbull"""
Wesley Correira,14-8-0 (W-L-D),Heavyweight,"""Cabbage"""
Waldo Cortes Acosta,14-1-0 (W-L-D),Heavyweight,"""Salsa Boy"""
Tracy Cortez,12-2-0 (W-L-D),Women's Flyweight,
Reyes Cortez,0-2-0 (W-L-D),Bantamweight,
Orion Cosce,8-2-0 (W-L-D),Welterweight,"""Galaxy"""
Louis Cosce,7-2-0 (W-L-D),Welterweight,
Randy Costa,6-4-0 (W-L-D),Bantamweight,"""The Zohan"""
Melquizael Costa,24-7-0 (W-L-D),Featherweight,"""Melk Cauthy"""
Paulo Costa,14-4-0 (W-L-D),Middleweight,"""The Eraser"""
Davi Costa,0-0-0 (W-L-D),Flyweight,
Alessandro Costa,14-4-0 (W-L-D),Flyweight,"""Nono"""
Oscar Cota,10-2-0 (W-L-D),Heavyweight,"""Elevation"""
Patrick Cote,24-11-0 (W-L-D),Welterweight,"""The Predator"""
J.C. Cottrell,17-5-0 (W-L-D),Lightweight,"""Superstar"""
JR Coughran,4-1-0 (W-L-D),Featherweight,
Rashad Coulter,9-4-0 (W-L-D),Light Heavyweight,"""Daywalker"""
Randy Couture,19-11-0 (W-L-D),Light Heavyweight,"""The Natural"""
Ryan Couture,6-3-0 (W-L-D),Lightweight,
Colby Covington,17-5-0 (W-L-D),Welterweight,"""Chaos"""
Hailey Cowan,7-4-0 (W-L-D),Women's Bantamweight,"""All Hail"""
Jeff Cox,14-5-0 (W-L-D),Lightweight,"""The Grinder"""
Nathan Coy,15-7-0 (W-L-D),Welterweight,"""Soulforce"""
Paul Craig,17-9-1 (W-L-D),Light Heavyweight,"""BearJew"""
Andrew Craig,9-4-0 (W-L-D),Middleweight,"""Highlight"""
Dan Cramer,1-1-0 (W-L-D),Welterweight,
Alberto Crane,8-2-0 (W-L-D),Lightweight,
Tim Credeur,13-6-0 (W-L-D),Middleweight,"""Crazy"""
Paul Creighton,5-1-0 (W-L-D),Lightweight,
Mirko Cro Cop,31-11-2 (W-L-D),Heavyweight,
Edilberto Crocota,10-1-1 (W-L-D),Welterweight,
Kevin Croom,21-15-0 (W-L-D),Bantamweight,"""Crash"""
Kiefer Crosbie,10-5-0 (W-L-D),Welterweight,"""BDK"""
Kenneth Cross,11-3-0 (W-L-D),Lightweight,
Allen Crowder,10-4-0 (W-L-D),Heavyweight,"""Pretty Boy"""
Daron Cruickshank,16-8-0 (W-L-D),Lightweight,"""Detroit Superstar"""
Richard Crunkilton Jr.,18-3-0 (W-L-D),Lightweight,"""Cleat"""
Jimmy Crute,12-4-2 (W-L-D),Light Heavyweight,
Aalon Cruz,8-4-0 (W-L-D),Lightweight,
Marcio Cruz,2-2-0 (W-L-D),Heavyweight,"""Pe De Pano"""
Dominick Cruz,24-4-0 (W-L-D),Bantamweight,"""The Dominator"""
Timmy Cuamba,9-3-0 (W-L-D),Featherweight,"""Twilight """
Jay Cucciniello,9-1-0 (W-L-D),Featherweight,"""MellowFellow"""
Emilio Cuellar,0-0-0 (W-L-D),Flyweight,
Josh Culibao,11-4-1 (W-L-D),Featherweight,"""Kuya"""
Zak Cummings,25-7-0 (W-L-D),Light Heavyweight,
Patrick Cummins,10-7-0 (W-L-D),Light Heavyweight,"""Durkin"""
Luke Cummo,9-6-0 (W-L-D),Welterweight,"""The Silent Assassin"""
Hugo Cunha,0-1-0 (W-L-D),Heavyweight,
Alton Cunningham,7-2-0 (W-L-D),Light Heavyweight,"""The Bo-Man"""
AJ Cunningham,11-5-0 (W-L-D),Bantamweight,"""The  Savage"""
Santo Curatolo,0-1-0 (W-L-D),Flyweight,
Larry Cureton,0-0-0 (W-L-D),N/A,
Kailin Curran,4-6-0 (W-L-D),Women's Strawweight,
Jeff Curran,35-15-1 (W-L-D),Bantamweight,"""Big Frog"""
Chris Curtis,31-12-0 (W-L-D),Welterweight,"""Action-Man"""
Ion Cutelaba,19-11-1 (W-L-D),Light Heavyweight,"""The Hulk"""
Gleidson Cutis,0-0-0 (W-L-D),Lightweight,"""Poney"""
Cris Cyborg,21-2-0 (W-L-D),Women's Featherweight,
Diego Henrique da Silva,0-0-0 (W-L-D),Middleweight,"""Gaucho"""
Alex da Silva,21-4-0 (W-L-D),Lightweight,"""Leko"""
Henrique da Silva,12-4-0 (W-L-D),Light Heavyweight,"""Frankenstein"""
Ariane da Silva,17-11-0 (W-L-D),Women's Flyweight,"""The Queen"""
Henrique Da Silva Lopes,0-0-0 (W-L-D),Heavyweight,
Dayana da Silva Santos,0-0-0 (W-L-D),Women's Bantamweight,
Marcus Da Silviera,0-0-0 (W-L-D),Heavyweight,"""Conan"""
Nicolas Dalby,23-6-1 (W-L-D),Welterweight,"""Danish Dynamite"""
Paul Daley,29-12-2 (W-L-D),Welterweight,"""Semtex"""
Aisling Daly,16-5-0 (W-L-D),Women's Strawweight,"""Ais the Bash"""
Leonardo Damiani,0-1-0 (W-L-D),Welterweight,
Rodrigo Damm,12-9-0 (W-L-D),Lightweight,
Batgerel Danaa,12-5-0 (W-L-D),Bantamweight,"""Storm"""
Cindy Dandois,8-3-0 (W-L-D),Women's Bantamweight,"""Battle Cat"""
Peter Danesoe,1-2-0 (W-L-D),Flyweight,
Jarjis Danho,7-1-1 (W-L-D),Heavyweight,"""Man Mountain"""
Jose Daniel Medina,11-5-0 (W-L-D),Middleweight,"""Chicho"""
Alexandre Dantas,3-2-0 (W-L-D),Heavyweight,"""Cafe"""
Mac Danzig,22-12-1 (W-L-D),Lightweight,
Beneil Dariush,23-6-1 (W-L-D),Lightweight,
Sean Daughtery,0-0-0 (W-L-D),N/A,
Chris Daukaus,12-7-0 (W-L-D),Light Heavyweight,
Kyle Daukaus,11-4-0 (W-L-D),Middleweight,
Brandon Davis,14-10-0 (W-L-D),Bantamweight,"""Killer B"""
Rick Davis,3-1-1 (W-L-D),Lightweight,"""The Flying Squirrel"""
Marcus Davis,22-9-0 (W-L-D),Lightweight,"""The Irish Hand Grenade"""
Alexis Davis,21-11-0 (W-L-D),Women's Bantamweight,
Phil Davis,13-3-0 (W-L-D),Light Heavyweight,"""Mr. Wonderful"""
Mike Davis,11-3-0 (W-L-D),Lightweight,"""Beast Boy"""
Hakeem Dawodu,13-4-1 (W-L-D),Featherweight,"""Mean"""
Grant Dawson,23-2-1 (W-L-D),Lightweight,"""KGD"""
Martin Day,8-6-0 (W-L-D),Featherweight,"""The Spartan"""
Jason Day,17-7-0 (W-L-D),Middleweight,"""Dooms"""
Angel De Anda,18-6-0 (W-L-D),Light Heavyweight,"""The Dream"""
Yorgan De Castro,6-3-0 (W-L-D),Heavyweight,"""The Mad Titan"""
Rafael de Freitas,0-0-0 (W-L-D),Flyweight,"""Barata (Cockroach)"""
Geraldo de Freitas Jr.,12-6-0 (W-L-D),Bantamweight,"""Spartan"""
Phil De Fries,9-3-0 (W-L-D),Heavyweight,
Chris De La Rocha,5-3-0 (W-L-D),Heavyweight,
Mark De La Rosa,11-5-0 (W-L-D),Bantamweight,"""Bumblebee"""
Montana De La Rosa,13-9-1 (W-L-D),Women's Flyweight,
Mike De La Torre,14-7-0 (W-L-D),Featherweight,"""El Cucuy"""
Rodrigo de Lima,8-3-1 (W-L-D),Lightweight,
Marcos Rogerio de Lima,22-10-1 (W-L-D),Heavyweight,"""Pezao"""
Jorge de Oliveira,7-2-0 (W-L-D),Welterweight,"""Blade"""
Leonardo De Oliveira,0-0-0 (W-L-D),Middleweight,
Isabela De Padua,0-1-0 (W-L-D),Women's Flyweight,"""Belinha"""
Gloria de Paula,6-5-0 (W-L-D),Women's Strawweight,"""Glorinha"""
Germaine de Randamie,10-5-0 (W-L-D),Women's Bantamweight,"""The Iron Lady"""
Reinier de Ridder,20-2-0 (W-L-D),Middleweight,"""RdR"""
Carls John De Tomas,8-2-0 (W-L-D),Flyweight,"""CJ"""
Carl Deaton,17-7-0 (W-L-D),Lightweight,"""The Anishinaabe Kid"""
Tom DeBlass,7-2-0 (W-L-D),Middleweight,
Shane Del Rosario,11-2-0 (W-L-D),Heavyweight,
Wallen Del Rosario,0-1-0 (W-L-D),Flyweight,
Yadier del Valle,9-0-0 (W-L-D),Featherweight,"""The Cuban Problem"""
Jose Miguel Delgado,10-1-0 (W-L-D),Featherweight,
Rolando Delgado,8-5-1 (W-L-D),Lightweight,"""The Crazy Cuban"""
Ante Delija,17-3-0 (W-L-D),Heavyweight,"""Walking Trouble"""
Jack Della Maddalena,18-2-0 (W-L-D),Welterweight,
Roland Delorme,9-4-0 (W-L-D),Bantamweight,
Jason DeLucia,2-2-0 (W-L-D),Middleweight,
Vanessa Demopoulos,11-8-0 (W-L-D),Women's Flyweight,"""Lil Monster"""
Chris Dempsey,11-4-0 (W-L-D),Middleweight,
Nick Denis,11-3-0 (W-L-D),Bantamweight,"""The Ninja of Love"""
Jason Dent,19-11-0 (W-L-D),Lightweight,"""Dynamite"""
Mackenzie Dern,15-5-0 (W-L-D),Women's Strawweight,
Tony DeSouza,10-4-0 (W-L-D),Welterweight,
Robelis Despaigne,5-2-0 (W-L-D),Heavyweight,"""The Big Boy"""
Edwin Dewees,34-10-0 (W-L-D),Middleweight,"""Babyface"""
Alessio Di Chirico,13-7-0 (W-L-D),Middleweight,"""Manzo"""
Micol Di Segni,0-0-0 (W-L-D),Women's Strawweight,
Cyrille Diabate,20-10-3 (W-L-D),Light Heavyweight,"""The Snake"""
Marc Diakiese,17-7-0 (W-L-D),Lightweight,"""Bonecrusher"""
Tyler Diamond,9-2-0 (W-L-D),Featherweight,
Blood Diamond,3-3-0 (W-L-D),Welterweight,
Hacran Dias,23-6-1 (W-L-D),Lightweight,
Victor Dias,0-1-0 (W-L-D),Flyweight,"""Crazy Horse"""
Eldo Xavier Dias,0-0-0 (W-L-D),N/A,
Adrian Diaz,11-5-1 (W-L-D),Featherweight,
Nate Diaz,22-13-0 (W-L-D),Welterweight,
Nick Diaz,26-11-0 (W-L-D),Middleweight,
Ozzy Diaz,10-3-0 (W-L-D),Middleweight,
TJ Dillashaw,18-5-0 (W-L-D),Bantamweight,
Jhonata Diniz,9-1-0 (W-L-D),Heavyweight,
Rico DiSciullo,9-3-0 (W-L-D),Bantamweight,
Matt Dixon,9-1-0 (W-L-D),Welterweight,
Russell Doane,15-8-0 (W-L-D),Bantamweight,
Drew Dober,27-15-0 (W-L-D),Lightweight,
Shana Dobson,4-5-0 (W-L-D),Women's Flyweight,"""Danger"""
AJ Dobson,7-3-0 (W-L-D),Middleweight,
David Dodd,0-0-0 (W-L-D),Middleweight,
John Dodson,22-12-0 (W-L-D),Bantamweight,"""The Magician"""
Joe Doerksen,45-14-0 (W-L-D),Middleweight,"""El Dirte"""
Roman Dolidze,15-3-0 (W-L-D),Middleweight,
Cameron Dollar,5-3-0 (W-L-D),Lightweight,"""Money Man"""
CB Dollaway,18-10-0 (W-L-D),Middleweight,"""The Doberman"""
Montserrat Rendon,6-1-0 (W-L-D),Women's Bantamweight,"""Monster"""
Cody Donovan,8-5-0 (W-L-D),Light Heavyweight,"""Donnybrook"""
Houston Dorr,0-0-0 (W-L-D),Heavyweight,
Rafael Dos Anjos,32-17-0 (W-L-D),Welterweight,
Anderson dos Santos,21-9-0 (W-L-D),Bantamweight,"""Berinja"""
Antonio dos Santos,6-3-0 (W-L-D),Middleweight,"""Junior Alpha"""
Elizeu Zaleski dos Santos,25-9-1 (W-L-D),Welterweight,"""Capoeira"""
Geronimo dos Santos,31-14-0 (W-L-D),Heavyweight,"""Mondragon"""
Acacio dos Santos,0-1-0 (W-L-D),Light Heavyweight,
Rayanne Dos Santos,14-9-0 (W-L-D),Women's Strawweight,
Maiara Amajanas Dos Santos,0-0-0 (W-L-D),Women's Strawweight,
Felipe dos Santos,8-3-0 (W-L-D),Flyweight,"""Lipe Detona"""
Oleksandr Doskalchuk,10-2-0 (W-L-D),Flyweight,
Lerryan Douglas,0-0-0 (W-L-D),Bantamweight,
Cedric Doumbe,0-0-0 (W-L-D),Welterweight,
John Dowdy,0-0-0 (W-L-D),N/A,
Dan Downes,8-3-0 (W-L-D),Lightweight,"""Danny Boy"""
Derek Downey,10-4-0 (W-L-D),Middleweight,"""The Gentleman"""
Kyle Driscoll,12-3-0 (W-L-D),Featherweight,
Tomasz Drwal,17-4-0 (W-L-D),Middleweight,"""Gorilla"""
Robert Drysdale,7-0-0 (W-L-D),Light Heavyweight,
Dricus Du Plessis,23-2-0 (W-L-D),Middleweight,"""Stillknocks"""
Hugo Duarte,0-0-0 (W-L-D),Heavyweight,
Yuneisy Duben,6-1-0 (W-L-D),Women's Flyweight,
Emily Ducote,13-9-0 (W-L-D),Women's Strawweight,"""Gordinha"""
Viktoriia Dudakova,8-2-0 (W-L-D),Women's Strawweight,
Milana Dudieva,11-5-0 (W-L-D),Women's Bantamweight,
Todd Duffee,9-3-0 (W-L-D),Heavyweight,
Joe Duffy,16-5-0 (W-L-D),Lightweight,"""Irish"""
Alexis Dufresne,5-2-0 (W-L-D),Women's Bantamweight,"""Sneaky Zebra"""
Jessamyn Duke,3-3-0 (W-L-D),Women's Bantamweight,"""The Gun"""
Islam Dulatov,1-0-0 (W-L-D),Welterweight,
Isaac Dulgarian,7-1-0 (W-L-D),Featherweight,"""The Midwest Choppa"""
Kelly Dullanty,4-1-0 (W-L-D),Lightweight,"""Psycho Kelly"""
Sedriques Dumas,10-3-0 (W-L-D),Middleweight,"""The Reaper"""
Norma Dumont,12-2-0 (W-L-D),Women's Bantamweight,"""The Immortal"""
Christian Leroy Duncan,11-2-0 (W-L-D),Middleweight,"""CLD"""
Chris Duncan,13-2-0 (W-L-D),Lightweight,"""The Problem"""
Evan Dunham,18-8-1 (W-L-D),Lightweight,
Tom Duquesnoy,15-2-0 (W-L-D),Bantamweight,"""Fire Kid"""
Albert Duraev,16-5-0 (W-L-D),Middleweight,
Reuben Duran,8-5-1 (W-L-D),Bantamweight,
Cody Durden,17-8-1 (W-L-D),Flyweight,"""Custom Made"""
Luiz Dutra,11-4-1 (W-L-D),Welterweight,"""Besouro"""
Riley Dutro,14-4-0 (W-L-D),Flyweight,"""The Perfect Storm"""
Merab Dvalishvili,20-4-0 (W-L-D),Bantamweight,"""The Machine"""
David Dvorak,20-6-0 (W-L-D),Flyweight,"""Undertaker"""
Matt Dwyer,8-4-0 (W-L-D),Welterweight,
Rolando Dy,9-6-1 (W-L-D),Featherweight,"""Dy Incredible"""
Ben Earwood,0-0-0 (W-L-D),Welterweight,
Cody East,12-3-0 (W-L-D),Heavyweight,"""The Freight Train"""
Marvin Eastman,15-8-1 (W-L-D),Middleweight,"""The Beastman"""
Mike Easton,13-5-0 (W-L-D),Bantamweight,"""The Hulk"""
Brian Ebersole,51-17-1 (W-L-D),Welterweight,"""Bad Boy"""
Roybert Echeverria,0-1-0 (W-L-D),Flyweight,"""The Unbroken"""
Mark Eddiva,6-3-0 (W-L-D),Featherweight,
Frankie Edgar,23-11-1 (W-L-D),Bantamweight,"""The Answer"""
Abdul-Kerim Edilov,16-4-0 (W-L-D),Light Heavyweight,
Johnny Eduardo,28-13-0 (W-L-D),Bantamweight,
Te Edwards,6-3-0 (W-L-D),Lightweight,"""Tango"""
Yves Edwards,42-22-1 (W-L-D),Lightweight,
Justin Edwards,9-5-0 (W-L-D),Lightweight,"""Fast Eddy"""
Adli Edwards,0-0-0 (W-L-D),Featherweight,
Joselyne Edwards,15-6-0 (W-L-D),Women's Bantamweight,"""La Pantera"""
Leon Edwards,22-5-0 (W-L-D),Welterweight,"""Rocky"""
Tom Egan,4-1-0 (W-L-D),Welterweight,"""The Tank"""
Stephanie Egger,8-5-0 (W-L-D),Women's Bantamweight,
Justin Eilers,9-5-1 (W-L-D),Heavyweight,
John-Olav Einemo,6-3-0 (W-L-D),Heavyweight,"""The Viking"""
Per Eklund,15-4-1 (W-L-D),Lightweight,
Evan Elder,10-2-0 (W-L-D),Lightweight,"""The Phenom """
Billy Elekana,7-2-0 (W-L-D),Light Heavyweight,"""Son of Susie"""
Joao Elias,0-1-0 (W-L-D),Flyweight,
Darren Elkins,29-12-0 (W-L-D),Featherweight,"""The Damage"""
Joe Ellenberger,15-2-0 (W-L-D),Lightweight,"""Excalibur"""
Jake Ellenberger,31-15-0 (W-L-D),Welterweight,"""The Juggernaut"""
Tim Elliott,21-13-1 (W-L-D),Flyweight,
Oban Elliott,12-3-0 (W-L-D),Welterweight,"""The Welsh Gangster"""
Lisa Ellis,15-9-0 (W-L-D),Women's Strawweight,
Anna Elmose,3-2-0 (W-L-D),Women's Strawweight,"""Panda"""
Cameron Else,10-6-0 (W-L-D),Bantamweight,"""Camchida"""
Sovannahry Em,0-0-0 (W-L-D),Women's Bantamweight,
Ramazan Emeev,20-6-0 (W-L-D),Welterweight,"""Gorets"""
Rob Emerson,11-9-0 (W-L-D),Lightweight,
Freddy Emiliano Linares,0-1-0 (W-L-D),Featherweight,
Jamall Emmers,21-8-0 (W-L-D),Featherweight,"""Pretty Boy"""
Josh Emmett,19-5-0 (W-L-D),Featherweight,"""CC0 (C-C-OH)"""
Kolton Englund,0-1-0 (W-L-D),Lightweight,
Oliver Enkamp,7-1-0 (W-L-D),Welterweight,"""The Future"""
Alex Enlund,14-2-0 (W-L-D),Featherweight,
Ian Entwistle,9-3-0 (W-L-D),Bantamweight,"""Enty"""
Andy Enz,8-3-0 (W-L-D),Middleweight,"""Lionheart"""
Steve Erceg,12-4-0 (W-L-D),Flyweight,"""Astroboy"""
Konstantin Erokhin,9-3-0 (W-L-D),Heavyweight,"""The Russian Bear"""
Julian Erosa,31-13-0 (W-L-D),Featherweight,"""Juicy J"""
Jarno Errens,14-6-1 (W-L-D),Featherweight,
Ivan Erslan,14-5-0 (W-L-D),Light Heavyweight,
Cole Escovedo,17-9-0 (W-L-D),Bantamweight,"""Apache Kid"""
Efrain Escudero,25-11-0 (W-L-D),Lightweight,"""Hecho en México"""
Carla Esparza,20-8-0 (W-L-D),Women's Strawweight,"""Cookie Monster"""
Juan Espino,11-2-0 (W-L-D),Heavyweight,"""El Guapo"""
Jordan Espinosa,15-9-0 (W-L-D),Flyweight,
