name,record,weight_class,nick_name
Rafael Alves,20-12-0 (W-L-D),Lightweight,"""The Turn"""
Sam Alvey,33-18-1 (W-L-D),Middleweight,"""Smile'N"""
Adlan Amagov,13-2-1 (W-L-D),Welterweight,"""Borz"""
Alen Amedovski,8-4-0 (W-L-D),Middleweight,
Hyder Amil,11-1-0 (W-L-D),Featherweight,"""The Hurricane"""
Makwan Amirkhani,17-9-0 (W-L-D),Featherweight,"""Mr. Finland"""
Jaqueline Amorim,10-1-0 (W-L-D),Women's Strawweight,
Eryk Anders,17-8-0 (W-L-D),Middleweight,"""Ya Boi"""
Matt Andersen,0-0-0 (W-L-D),N/A,
Corey Anderson,14-5-0 (W-L-D),Light Heavyweight,"""Overtime"""
Megan Anderson,11-5-0 (W-L-D),Women's Featherweight,
Andy Anderson,0-0-0 (W-L-D),N/A,
Lowell Anderson,0-0-0 (W-L-D),Middleweight,
Tatsuya Ando,0-1-0 (W-L-D),Bantamweight,
Viscardi Andrade,19-7-0 (W-L-D),Welterweight,
Alex Andrade,0-0-0 (W-L-D),Middleweight,
Jéssica Andrade,26-14-0 (W-L-D),Women's Strawweight,"""Bate Estaca"""
Jermaine Andre,0-0-0 (W-L-D),Middleweight,
Juan Andres Luna,0-1-0 (W-L-D),Flyweight,
Dylan Andrews,18-7-0 (W-L-D),Middleweight,"""The Villain"""
Reese Andy,7-3-0 (W-L-D),Light Heavyweight,"""Riptide"""
Julius Anglickas,0-0-0 (W-L-D),Light Heavyweight,
Collin Anglin,8-3-0 (W-L-D),Featherweight,
Chad Anheliger,13-8-0 (W-L-D),Bantamweight,"""The Monster"""
Yoji Anjo,0-0-0 (W-L-D),Middleweight,"""Mr. 200%"""
Magomed Ankalaev,21-1-1 (W-L-D),Light Heavyweight,
Nina Nunes,11-7-0 (W-L-D),Women's Flyweight,
Gadzhimurad Antigulov,20-8-0 (W-L-D),Light Heavyweight,
Adam Antolin,13-3-0 (W-L-D),Flyweight,"""Captain Chaos"""
Zu Anyanwu,14-5-0 (W-L-D),Heavyweight,"""8th Wonder"""
